Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Age,CustomerForYears,TotalSpent,FamilySize,Kids_Teens,TotalAcceptedCmp,SpendingEfficiency,CampaignSuccessRate,PCA1,PCA2,Cluster,Cluster_GMM
1957,Graduation,Single,58138.0,0,0,2012-09-04,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,1,68,13,1617,1,0,0,0.027813134266744644,0.0,2.0375609314437813,-0.18096960552911745,3,1
1954,Graduation,Single,46344.0,1,1,2014-03-08,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,0,71,11,27,3,2,0,0.0005825996892801658,0.0,-1.5508079848498324,0.8056356272451148,1,3
1965,Graduation,Together,71613.0,0,0,2013-08-21,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,0,60,12,776,1,0,0,0.010836021392763883,0.0,0.815175592005523,-1.0080541454724075,5,1
1984,Graduation,Together,26646.0,1,0,2014-02-10,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,0,41,11,53,2,1,0,0.0019890415071680554,0.0,-1.0094219050555333,-0.08371357695095286,0,0
1981,PhD,Married,58293.0,1,0,2014-01-19,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,0,44,11,422,2,1,0,0.007239291167035493,0.0,-0.3296141780124818,-0.12139169796271948,0,0
1967,Master,Together,62513.0,0,1,2013-09-09,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,0,58,12,716,2,1,0,0.011453617647529314,0.0,0.1189435561622092,0.09453417929593662,4,0
1971,Graduation,Divorced,55635.0,0,1,2012-11-13,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,0,54,13,590,2,1,0,0.010604835085827267,0.0,0.02885080554717806,0.1723731736470327,2,0
1985,PhD,Married,33454.0,1,0,2013-05-08,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,0,40,12,169,2,1,0,0.0050517127996652115,0.0,-0.6814805274083238,0.045258727983093355,4,0
1974,PhD,Together,30351.0,1,0,2013-06-06,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,1,51,12,46,2,1,0,0.001515600803927383,0.0,-0.9401970259851584,-0.043349901976063344,4,0
1950,PhD,Together,5648.0,1,1,2014-03-13,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,0,75,11,49,3,2,1,0.008675637393767706,0.2,-1.2004002866666372,1.2975496069858963,1,3
1976,Basic,Married,7500.0,0,0,2012-11-13,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,0,49,13,61,1,0,0,0.008133333333333333,0.0,-0.0379349039499966,-0.5258036897598743,5,1
1959,Graduation,Divorced,63033.0,0,0,2013-11-15,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,0,66,12,1102,1,0,0,0.01748290577951232,0.0,1.2462116736124678,-0.6742281292527983,5,1
1952,Master,Divorced,59354.0,1,1,2013-11-15,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,0,73,12,310,3,2,0,0.005222899888802777,0.0,-1.0239774303942328,0.9441520583752081,1,3
1987,Graduation,Married,17323.0,0,0,2012-10-10,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,0,38,13,46,1,0,0,0.0026554291981758355,0.0,-0.29330924937959807,-0.8804368981696206,5,1
1946,PhD,Single,82800.0,0,0,2012-11-24,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,1,79,13,1315,1,0,2,0.015881642512077295,0.4,1.8392894249042024,-1.2001858111009496,3,1
1980,Graduation,Married,41850.0,1,1,2012-12-24,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,0,45,13,96,3,2,0,0.0022939068100358423,0.0,-1.3722787974765234,0.9462547837970148,1,3
1946,Graduation,Together,37760.0,0,0,2012-08-31,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,0,79,13,317,1,0,0,0.008395127118644067,0.0,0.3324130766855997,-0.686224338021809,5,1
1949,Master,Married,76995.0,0,1,2013-03-28,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,0,76,12,1782,2,1,1,0.023144360023378142,0.2,1.4752806944442438,0.22337736271090347,2,1
1985,2n Cycle,Single,33812.0,1,0,2012-11-03,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,0,40,13,133,2,1,0,0.003933514728498758,0.0,-0.6959031677317531,0.05526825222036933,2,0
1982,Graduation,Married,37040.0,0,0,2012-08-08,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,0,43,13,316,1,0,0,0.008531317494600432,0.0,0.29743520182095373,-0.7806757811087536,3,1
1979,Graduation,Married,2447.0,1,0,2013-01-06,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,0,46,12,1730,2,1,0,0.7069881487535759,0.0,40.20212608520358,32.53106495981647,3,2
1949,PhD,Married,58607.0,0,1,2012-12-23,63,867,0,86,0,0,19,3,2,3,9,8,0,1,0,0,0,0,0,76,13,972,2,1,1,0.01658504956745781,0.2,0.7406263794361212,0.24445444847766035,2,0
1954,PhD,Married,65324.0,0,1,2014-01-11,0,384,0,102,21,32,5,3,6,2,9,4,0,0,0,0,0,0,0,71,11,544,2,1,0,0.008327720286571551,0.0,-0.14286190224560832,-0.06233208048542833,0,0
1951,Graduation,Together,40689.0,0,1,2013-03-18,69,270,3,27,39,6,99,7,7,1,5,8,0,0,0,0,0,0,0,74,12,444,2,1,0,0.010912040109120402,0.0,-0.15908887194304253,0.31923619356534344,4,0
1969,Graduation,Single,18589.0,0,0,2013-01-02,89,6,4,25,15,12,13,2,2,1,3,7,0,0,0,0,0,0,0,56,12,75,1,0,0,0.004034644144386465,0.0,-0.2348485062409454,-0.8358884183612468,5,1
1976,Graduation,Married,53359.0,1,1,2013-05-27,4,173,4,30,3,6,41,4,5,1,4,7,0,0,0,0,0,0,0,49,12,257,3,2,0,0.004816432092055698,0.0,-1.1370906776584158,0.9066600426722132,1,3
1989,Graduation,Married,38360.0,1,0,2013-05-31,26,36,2,42,20,21,10,2,2,1,4,3,0,0,0,0,0,0,0,36,12,131,2,1,0,0.0034150156412930135,0.0,-0.7540482520044812,-0.07153813813118476,4,0
1965,PhD,Married,84618.0,0,0,2013-11-22,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,0,60,12,1672,1,0,1,0.019759389255241202,0.2,1.9248530044773289,-1.0217390960856456,3,1
1989,Master,Divorced,10979.0,0,0,2014-05-22,34,8,4,10,2,2,4,2,3,0,3,5,0,0,0,0,0,0,0,36,11,30,1,0,0,0.0027324892977502505,0.0,-0.465192238701998,-0.9511439138807616,5,1
1963,Master,Together,38620.0,0,0,2013-05-11,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,62,12,318,1,0,0,0.008234075608493008,0.0,0.25345755996179087,-0.8086276126168117,5,1
1970,Graduation,Together,40548.0,0,1,2012-10-10,31,110,0,5,2,0,3,2,2,1,4,5,0,1,0,0,0,0,0,55,13,120,2,1,1,0.002959455460195324,0.2,-0.4950031550487266,-0.17746848385042926,2,0
1952,PhD,Divorced,46610.0,0,2,2012-10-29,8,96,12,96,33,22,43,6,4,1,6,6,0,0,0,0,0,0,1,73,13,302,3,2,0,0.00647929628835014,0.0,-0.9954226159599227,1.1542505905715257,1,3
1946,Master,Married,68657.0,0,0,2013-02-20,4,482,34,471,119,68,22,1,3,5,9,7,0,0,0,0,0,0,0,79,12,1196,1,0,0,0.01741992804812328,0.0,1.3316018114926147,-0.6949678589178986,5,1
1951,Master,Single,49389.0,1,1,2013-08-29,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,0,74,12,65,3,2,0,0.0013160825284982485,0.0,-1.4092012995409986,0.878609900571463,1,3
1970,PhD,Married,67353.0,0,1,2013-12-31,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,0,55,12,913,2,1,0,0.013555446676465785,0.0,0.34120596519037083,0.11557199769584564,4,0
1976,2n Cycle,Married,23718.0,1,0,2013-09-02,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,0,49,12,81,2,1,0,0.0034151277510751326,0.0,-0.8732269074204361,0.0809115585413199,4,0
1973,Graduation,Widow,42429.0,0,1,2014-02-11,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0,52,11,67,2,1,0,0.0015791086285323716,0.0,-0.8923293746429342,-0.1867104989817045,0,0
1943,PhD,Divorced,48948.0,0,0,2013-02-01,53,437,8,206,160,49,42,2,7,10,5,6,1,0,0,0,0,0,1,82,12,902,1,0,1,0.01842771921222522,0.2,1.332238228317843,-0.6338081402639131,3,1
1980,Graduation,Married,80011.0,0,1,2013-04-29,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,0,45,12,1395,2,1,0,0.01743510267338241,0.0,0.8156987183485793,0.0948288341883313,4,0
1985,Master,Married,20559.0,1,0,2013-03-12,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,0,40,12,53,2,1,0,0.0025779463981711174,0.0,-0.9651624636352042,0.04307164138628011,4,0
1957,Graduation,Together,21994.0,0,1,2012-12-24,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,68,13,22,2,1,0,0.0010002728016731835,0.0,-0.9673374729790236,0.10573942917793777,2,0
1975,Master,Married,7500.0,1,0,2013-10-02,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,0,50,12,31,2,1,0,0.0041333333333333335,0.0,-0.9756139835127344,0.24263128743742246,4,0
1976,Graduation,Single,79941.0,0,0,2014-06-28,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,0,49,11,984,1,0,0,0.012309077944984426,0.0,0.9647525246624908,-1.1251952998210897,5,1
1996,2n Cycle,Married,7500.0,0,0,2012-11-09,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,1,29,13,122,1,0,0,0.016266666666666665,0.0,0.43235273012664366,-0.2182197400422724,5,1
1968,Graduation,Together,41728.0,1,0,2013-05-24,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,0,57,12,55,2,1,0,0.0013180598159509202,0.0,-0.8524620701291848,-0.11856627994747326,4,0
1954,PhD,Married,72550.0,1,1,2012-11-08,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,0,71,13,1319,3,2,0,0.01818056512749828,0.0,0.22254806211631017,1.335109507244931,1,3
1957,Graduation,Widow,65486.0,0,1,2014-05-12,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,0,68,11,507,2,1,0,0.0077421128180069024,0.0,-0.1908157360078841,-0.09337058782934338,0,0
1964,Master,Married,79143.0,0,0,2012-08-11,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0,61,13,1693,1,0,0,0.021391658137801195,0.0,1.8504191336370508,-0.6633482555408301,3,1
1977,Graduation,Single,35790.0,1,0,2013-01-02,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,0,48,12,72,2,1,0,0.00201173512154233,0.0,-0.8628861435132417,-0.07283657013400718,4,0
1977,Graduation,Divorced,82582.0,0,0,2014-06-07,54,510,120,550,156,40,241,1,4,9,7,1,1,0,0,1,0,0,1,48,11,1617,1,0,2,0.019580538131796277,0.4,2.001373807324383,-1.2853464751660164,3,1
1978,Graduation,Married,66373.0,1,1,2013-06-12,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,0,47,12,606,3,2,0,0.009130218612990222,0.0,-0.6706689315602976,0.9489249836524398,1,3
1955,Master,Together,82384.0,0,0,2012-11-19,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,1,70,13,1957,1,0,1,0.023754612546125462,0.2,2.3025796615869547,-0.7795943250811804,3,1
1966,Graduation,Divorced,70287.0,0,0,2013-04-02,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,1,59,12,1093,1,0,0,0.015550528547242022,0.0,1.1816868303097736,-0.8353144776069588,5,1
1988,Graduation,Single,27938.0,1,0,2014-04-28,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,0,37,11,29,2,1,0,0.0010380127425012528,0.0,-1.0662755736437917,-0.14493204476865879,0,0
1968,PhD,Married,55954.0,0,1,2014-03-03,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,0,57,11,518,2,1,0,0.009257604460807091,0.0,-0.18618203168635894,0.01149357373545365,0,0
1982,Master,Single,75777.0,0,0,2013-07-04,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,1,43,12,1438,1,0,2,0.018976734365308733,0.4,1.907399496820637,-1.1909144320029952,3,1
1975,Graduation,Together,66653.0,1,1,2012-09-07,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,0,50,13,612,3,2,0,0.009181882285868604,0.0,-0.6010151001409627,1.015594329574596,1,3
1952,Graduation,Single,61823.0,0,1,2013-02-18,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,0,73,12,884,2,1,0,0.014298885528039726,0.0,0.34922683268605226,0.24782544853955116,4,0
1951,PhD,Widow,67680.0,0,1,2013-06-11,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,0,74,12,606,2,1,0,0.008953900709219859,0.0,-0.004941636790326054,0.0067051991586465284,4,0
1948,Graduation,Together,70666.0,0,0,2013-12-06,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,0,77,12,1076,1,0,0,0.0152265587411202,0.0,1.178711030247724,-0.7971923624412286,5,1
1971,Graduation,Married,25721.0,1,0,2013-05-21,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,1,54,12,34,2,1,0,0.0013218770654329147,0.0,-0.9889614431732078,-0.008016616791769023,4,0
1967,Graduation,Together,32474.0,1,1,2014-05-11,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,58,11,11,3,2,0,0.00033873252448112336,0.0,-1.693291648273511,0.8589592562183491,1,3
1979,2n Cycle,Single,88194.0,0,1,2014-03-19,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,1,46,11,1274,2,1,2,0.014445427126561898,0.4,0.9947801046918232,-0.5089191059928178,2,1
1958,Graduation,Together,69096.0,0,1,2013-09-27,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,0,67,12,653,2,1,0,0.009450619428042144,0.0,0.04345091758997205,-0.008910442915254481,4,0
1970,Graduation,Together,74854.0,1,2,2013-04-08,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,0,55,12,1562,4,3,0,0.020867288321265397,0.0,-0.23679254527044666,2.3014256554075705,1,3
1954,Master,Married,66991.0,0,0,2012-09-11,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,0,71,13,1253,1,0,0,0.01870400501559911,0.0,1.4628364179588833,-0.5979875409480829,3,1
1959,Graduation,Married,65031.0,0,1,2013-03-17,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,0,66,12,863,2,1,0,0.013270594024388368,0.0,0.300994321015153,0.15983544560860136,4,0
1975,PhD,Married,60631.0,1,1,2013-04-05,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,0,50,12,661,3,2,1,0.01090201382131253,0.2,-0.39936407226893633,0.886992624525944,1,3
1952,Graduation,Married,28332.0,0,0,2014-04-30,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,0,73,11,65,1,0,0,0.00229422561061697,0.0,-0.3037410345116308,-0.9936154199687115,5,1
1977,Graduation,Divorced,40246.0,1,0,2012-12-19,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,0,48,13,13,2,1,0,0.0003230134671768623,0.0,-0.885521859276338,-0.11509244958276493,2,0
1972,Master,Married,75251.0,0,0,2012-08-27,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,1,53,13,1890,1,0,0,0.025115945303052452,0.0,2.0923170926327894,-0.5187797772304445,3,1
1976,Graduation,Single,75825.0,0,0,2012-10-12,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,1,49,13,2209,1,0,1,0.02913287174414771,0.2,2.624021099116149,-0.5865364505563353,3,1
1976,2n Cycle,Together,26326.0,0,0,2013-09-04,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,0,49,12,18,1,0,0,0.0006837347109321583,0.0,-0.393553840763927,-1.0582454235702892,5,1
1965,Graduation,Together,56046.0,0,0,2013-01-02,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,1,60,12,692,1,0,1,0.012347000678014489,0.2,0.9443943457102331,-0.996969037873406,3,1
1985,Graduation,Single,29760.0,1,0,2012-08-29,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,0,40,13,165,2,1,0,0.005544354838709678,0.0,-0.6241579088866991,0.15388769156243617,2,0
1969,Graduation,Married,26304.0,1,0,2013-06-23,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,0,56,12,16,2,1,0,0.0006082725060827251,0.0,-1.0295609479028265,-0.03641429246213581,4,0
1973,2n Cycle,Married,23559.0,1,0,2013-07-03,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,0,52,12,79,2,1,0,0.0033532832463177556,0.0,-0.8756582572870489,0.08837126103068815,4,0
